feedback_id,district,state,survey_date,issue_category,service_type,sentiment,satisfaction_score,comment
FB-2026-000001,Pune,Maharashtra,2026-03-12,Public Transport,Crowding,Negative,3.0,Peak-hour buses are heavily overcrowded and uncomfortable.
FB-2026-000002,Mumbai Suburban,Maharashtra,2026-08-17,Electricity,Reliability,Positive,3.0,Electricity supply has been stable and uninterrupted.
FB-2026-000003,Surat,Gujarat,2026-03-01,Public Transport,Service Quality,Positive,5.0,Public transport has become cleaner and more reliable recently.
FB-2026-000004,Jaipur,Rajasthan,2026-06-29,Electricity,Reliability,Positive,4.0,Electricity supply has been stable and uninterrupted.
FB-2026-000005,Barmer,Rajasthan,2026-01-02,Employment,Training,Positive,5.0,A local skills programme helped participants find work.
FB-2026-000006,Jabalpur,Madhya Pradesh,2026-02-09,Roads,Erosion,Negative,1.0,Road surfaces deteriorated after heavy rainfall.
FB-2026-000007,Kutch,Gujarat,2026-04-02,Roads,Maintenance,Positive,3.0,Road resurfacing has improved travel quality.
FB-2026-000008,Rewa,Madhya Pradesh,2026-08-25,Water Supply,Tanker Dependency,Negative,3.0,Dependence on private tankers is increasing household costs.
FB-2026-000009,Raichur,Karnataka,2026-06-30,Water Supply,Water Purity,Negative,2.0,Residents reported concerns about water quality.
FB-2026-000010,Kutch,Gujarat,2026-08-10,Employment,Recruitment,Negative,2.0,Recruitment opportunities for technical roles are limited.
FB-2026-000011,Raichur,Karnataka,2026-04-01,Public Transport,Connectivity,Negative,3.0,Last-mile connectivity from the main transit hub is limited.
FB-2026-000012,Bhavnagar,Gujarat,2026-02-13,Water Supply,Tap Connectivity,Positive,3.0,Piped water supply is regular and convenient.
FB-2026-000013,Rewa,Madhya Pradesh,2026-08-25,Roads,Work Quality,Unknown,1.0,Recent patchwork repairs have started deteriorating.
FB-2026-000014,Dharwad,Karnataka,2026-07-18,Employment,Job Creation,Negative,2.0,Lack of local opportunities is pushing young workers to migrate.
FB-2026-000015,Bhopal,Madhya Pradesh,2026-02-24,Healthcare,Facility Quality,Positive,3.0,The facility was clean and well maintained.
FB-2026-000016,Varanasi,Uttar Pradesh,2026-08-23,Roads,Maintenance,Positive,4.0,Road resurfacing has improved travel quality.
FB-2026-000017,Nagpur,Maharashtra,2026-05-24,Healthcare,Facility Quality,Positive,5.0,The facility was clean and well maintained.
FB-2026-000018,Bhopal,Madhya Pradesh,2026-02-05,Roads,Maintenance,Positive,3.0,Road resurfacing has improved travel quality.
FB-2026-000019,Pune,Maharashtra,2026-02-10,Public Transport,Service Quality,Positive,5.0,Public transport has become cleaner and more reliable recently.
FB-2026-000020,Bhavnagar,Gujarat,2026-06-02,Roads,Maintenance,Positive,5.0,Road resurfacing has improved travel quality.
FB-2026-000021,Ahmedabad,Gujarat,2026-01-30,Electricity,Reliability,Positive,5.0,Electricity supply has been stable and uninterrupted.
FB-2026-000022,Belagavi,Karnataka,2026-04-22,Public Transport,Delay/Frequency,Negative,3.0,"The bus frequency on a major route is poor, with long morning waits."
FB-2026-000023,Bikaner,Rajasthan,2026-07-15,Digital Government Services,Server Downtime,Negative,3.0,The online service portal frequently becomes unavailable.
FB-2026-000024,Mysuru,Karnataka,2026-05-10,Employment,Training,Positive,4.0,A local skills programme helped participants find work.
FB-2026-000025,Aurangabad,Maharashtra,2026-07-19,Water Supply,Tap Connectivity,Positive,5.0,Piped water supply is regular and convenient.
FB-2026-000026,Dharwad,Karnataka,2026-01-29,Roads,Maintenance,Positive,3.0,Road resurfacing has improved travel quality.
FB-2026-000027,Rajkot,Gujarat,2026-05-26,Healthcare,Service Quality,Positive,5.0,Doctors and nursing staff provided attentive care.
FB-2026-000028,Varanasi,Uttar Pradesh,2026-07-14,Employment,Training,Positive,3.0,A local skills programme helped participants find work.
FB-2026-000029,Lucknow,Uttar Pradesh,2026-02-12,Education,Staffing,Negative,1.0,Teacher vacancies are affecting continuity of instruction.
FB-2026-000030,Gorakhpur,Uttar Pradesh,2026-06-26,Sanitation,Public Toilets,Negative,2.0,Public toilets are not consistently functional.
FB-2026-000031,Raichur,Karnataka,2026-05-13,Roads,Lighting,Negative,1.0,Street lighting is inadequate on several road segments.
FB-2026-000032,Bhavnagar,Gujarat,2026-05-31,Healthcare,Service Quality,Positive,3.0,Doctors and nursing staff provided attentive care.
FB-2026-000033,Bhavnagar,Gujarat,2026-01-16,Electricity,Outages,Negative,2.0,Unscheduled power cuts are affecting households and small businesses.
FB-2026-000034,Bhavnagar,Gujarat,2026-03-13,Water Supply,Tap Connectivity,Positive,5.0,Piped water supply is regular and convenient.
FB-2026-000035,Nagpur,Maharashtra,2026-08-14,Sanitation,Door-to-Door,Positive,3.0,Door-to-door collection is working reliably in this area.
FB-2026-000036,Lucknow,Uttar Pradesh,2026-02-18,Employment,Wage Delay,Negative,2.0,Payments under public employment programmes are delayed.
FB-2026-000037,Kalaburagi,Karnataka,2026-04-30,Roads,Maintenance,Positive,5.0,Road resurfacing has improved travel quality.
FB-2026-000038,Mumbai Suburban,Maharashtra,2026-07-06,Public Transport,Service Quality,Positive,3.0,Public transport has become cleaner and more reliable recently.
FB-2026-000039,Jaipur,Rajasthan,2026-04-25,Healthcare,Waiting Time,Negative,2.0,Registration and consultation took several hours.
FB-2026-000040,Rewa,Madhya Pradesh,2026-08-25,Healthcare,Doctor Availability,Negative,1.0,The public clinic has long queues because too few doctors are available.
FB-2026-000041,Gorakhpur,Uttar Pradesh,2026-01-24,Employment,Training,Positive,3.0,A local skills programme helped participants find work.
FB-2026-000042,Gwalior,Madhya Pradesh,2026-02-24,Roads,Maintenance,Positive,3.0,Road resurfacing has improved travel quality.
FB-2026-000043,Indore,Madhya Pradesh,2026-04-10,Public Transport,Service Quality,Positive,4.0,Public transport has become cleaner and more reliable recently.
FB-2026-000044,Jabalpur,Madhya Pradesh,2026-07-07,Electricity,Reliability,Positive,3.0,Electricity supply has been stable and uninterrupted.
FB-2026-000045,Jaipur,Rajasthan,2026-01-15,Healthcare,Service Quality,Positive,5.0,Doctors and nursing staff provided attentive care.
FB-2026-000046,Dharwad,Karnataka,2026-05-30,Public Transport,Service Quality,Positive,,Public transport has become cleaner and more reliable recently.
FB-2026-000047,Kanpur Nagar,Uttar Pradesh,2026-02-17,Public Transport,Delay/Frequency,Negative,3.0,"The bus frequency on a major route is poor, with long morning waits."
FB-2026-000048,Udaipur,Rajasthan,2026-08-16,Roads,Work Quality,Negative,3.0,Recent patchwork repairs have started deteriorating.
