district,state,population,road_quality_index,healthcare_access_index,water_access_index,public_transport_index
Ahmedabad,Gujarat,8200000,78.5,82.1,79.2,85.0
Surat,Gujarat,6500000,80.2,79.4,81.0,78.0
Vadodara,Gujarat,3200000,75.0,77.0,76.5,72.0
Rajkot,Gujarat,2100000,71.2,73.5,68.0,69.5
Bhavnagar,Gujarat,1800000,64.0,68.0,62.0,60.0
Kutch,Gujarat,2100000,58.0,59.0,48.0,51.0
Mumbai Suburban,Maharashtra,9300000,68.0,85.0,82.0,89.0
Pune,Maharashtra,7400000,74.0,83.0,79.0,78.0
Nagpur,Maharashtra,4600000,70.5,75.0,74.0,71.0
Nashik,Maharashtra,3900000,66.0,71.0,70.0,64.0
Aurangabad,Maharashtra,3700000,61.0,65.0,58.0,57.0
Nanded,Maharashtra,3300000,52.0,58.0,51.0,48.0
Jaipur,Rajasthan,6600000,72.0,76.0,66.0,73.0
Jodhpur,Rajasthan,3600000,65.0,68.0,54.0,61.0
Kota,Rajasthan,1950000,69.0,72.0,68.0,64.0
Udaipur,Rajasthan,3100000,63.0,64.0,61.0,56.0
Bikaner,Rajasthan,2400000,58.0,61.0,45.0,50.0
Barmer,Rajasthan,2600000,51.0,52.0,39.0,42.0
Bengaluru Urban,Karnataka,9600000,62.0,84.0,75.0,79.0
Mysuru,Karnataka,3000000,74.0,76.0,78.0,72.0
Dharwad,Karnataka,1850000,68.0,73.0,69.0,67.0
Belagavi,Karnataka,4800000,63.0,67.0,65.0,60.0
Kalaburagi,Karnataka,2600000,54.0,58.0,52.0,50.0
Raichur,Karnataka,1900000,50.0,54.0,48.0,45.0
Indore,Madhya Pradesh,3300000,78.0,77.0,74.0,75.0
Bhopal,Madhya Pradesh,2400000,73.0,75.0,71.0,72.0
Gwalior,Madhya Pradesh,2050000,64.0,68.0,63.0,62.0
Jabalpur,Madhya Pradesh,2460000,65.0,70.0,66.0,61.0
Ujjain,Madhya Pradesh,2000000,62.0,66.0,59.0,58.0
Rewa,Madhya Pradesh,2360000,53.0,57.0,49.0,47.0
Lucknow,Uttar Pradesh,4600000,71.0,79.0,72.0,74.0
Varanasi,Uttar Pradesh,3700000,66.0,74.0,68.0,68.0
Kanpur Nagar,Uttar Pradesh,4500000,63.0,71.0,66.0,66.0
Prayagraj,Uttar Pradesh,5900000,60.0,67.0,61.0,60.0
Gorakhpur,Uttar Pradesh,4400000,57.0,65.0,58.0,55.0
Jhansi,Uttar Pradesh,2000000,55.0,62.0,52.0,52.0
